student_name,student_class,student_email,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,open_q1,open_q2,open_q3,open_q4,open_q5,open_q6,open_q7,open_q8,open_q9,open_q10
Ram Bahadur Shrestha,Class 8,ram.shrestha@email.com,Very Satisfied,Yes,Very Good,Very Helpful,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Math teacher explains well but too fast sometimes,Classroom is too hot in summer,Books are good but expensive,Exams are fair but stressful,Need more practice books,Lab equipment is outdated,Happy with current schedule,Teachers listen to us mostly,Good environment overall,Learning well but need more support
Sita Kumari Poudel,Class 9,sita.poudel@email.com,Dissatisfied,No,Poor,Not Helpful,Rarely,Unclear,Not Useful,Poor,Dissatisfied,No,English teacher is boring and strict,Classroom has broken desks,Books are confusing and old,Exams are too difficult,Need better explanation,Computer room is always locked,Too many classes per day,Nobody cares about our problems,Rules are too strict,Not enjoying school much
Anil Gurung,Class 7,anil.gurung@email.com,Satisfied,Yes,Good,Helpful,Often,Clear,Useful,Good,Satisfied,Yes,Science experiments are fun but dangerous,Need more space in classroom,Books have good pictures,Tests are okay but frequent,Want more sports time,Need safety equipment in lab,Lunch break is too short,Some teachers are nice,School building needs repair,Like learning about nature
Meena Tamang,Class 10,meena.tamang@email.com,Very Dissatisfied,No,Very Poor,Not Helpful,Never,Very Unclear,Not Useful,Very Poor,Very Dissatisfied,No,Teachers dont understand our problems,Classroom is dirty and noisy,Books are torn and missing pages,Exams are unfair and biased,Need patient teachers,Toilets are dirty,Hate waking up early,Feeling ignored by staff,Bullying problem not solved,Want to change school
Govinda Rai,Class 6,govinda.rai@email.com,Very Satisfied,Yes,Very Good,Very Helpful,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Love my teacher she is kind,Classroom is colorful and fun,Picture books are amazing,Tests are easy and fun,Want more story time,Need more crayons and colors,Playing time is perfect,Everyone is my friend,Love coming to school,Learning to read and write well
Sunita Magar,Class 8,sunita.magar@email.com,Neutral,Sometimes,Average,Somewhat Helpful,Sometimes,Somewhat Clear,Somewhat Useful,Average,Neutral,Sometimes,Some subjects are boring others good,Classroom is okay but needs paint,Books are average quality,Exams are sometimes hard sometimes easy,Need more examples in lessons,Library needs more books,Schedule is acceptable,Mixed experience with teachers,Average school environment,Learning is slow but steady
Prakash Limbu,Class 9,prakash.limbu@email.com,Dissatisfied,No,Poor,Not Helpful,Rarely,Unclear,Not Useful,Poor,Dissatisfied,No,History teacher just reads from book,Classroom has no proper lighting,Books are outdated from 2010,Exams test memory not understanding,Need interactive teaching methods,Projector never works,Too much homework daily,Teachers are always angry,Feeling stressed about studies,Thinking of dropping out
Rekha Rai,Class 7,rekha.rai@email.com,Satisfied,Yes,Good,Helpful,Often,Clear,Useful,Good,Satisfied,Yes,Art class is my favorite subject,Classroom windows dont open properly,Books lack practical examples,Tests are fair but lengthy,Want more creative activities,Need better art supplies,Break time activities are good,Most teachers are understanding,School events are entertaining,Developing interest in creativity
Deepak Sharma,Class 10,deepak.sharma@email.com,Very Satisfied,Yes,Very Good,Very Helpful,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Physics teacher makes concepts clear,Well equipped classroom,Books explain concepts thoroughly,Exams test real understanding,Appreciate detailed explanations,Lab experiments are excellent,Study schedule works well,Teachers encourage questions,Positive learning atmosphere,Confident about my future
Sarita Neupane,Class 6,sarita.neupane@email.com,Dissatisfied,No,Poor,Not Helpful,Rarely,Unclear,Not Useful,Poor,Dissatisfied,No,Teacher shouts at us always,Classroom smells bad,Books have difficult words,Tests make me cry,Need easier explanations,Scared of going to toilet,Dont like sitting for long,Some kids are mean,Want to play more,Scared of teachers
