teacher_name,teacher_subject,teacher_email,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,open_q1,open_q2,open_q3,open_q4,open_q5,open_q6,open_q7,open_q8,open_q9,open_q10
Kamala Poudel,Mathematics,kamala.poudel@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Students understand algebra and geometry well,Classroom whiteboard needs replacement,Math textbooks are comprehensive,Assessment shows good progress,Calculator and graph paper needed,More practice time would help,Using step by step approach,Students actively participate in problem solving,Strong administrative support for math,Successfully improving calculation skills
Hari Bahadur Gurung,Science,hari.gurung@school.edu.np,Ineffective,No,Poor,Not Supportive,Rarely,Unclear,Not Useful,Poor,Dissatisfied,No,Laboratory experiments often fail due to equipment,Science lab lacks basic apparatus,Physics and chemistry books outdated,Students lose interest in practicals,Urgent need for lab equipment,Safety measures cannot be implemented,Traditional lecture method not working,Low student engagement in science,No budget for science materials,Struggling to teach practical concepts
Saraswati Sharma,English,saraswati.sharma@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Students improving in speaking and writing,English lab with audio system helpful,Grammar and literature books adequate,Oral assessments very effective,More English story books needed,Sufficient time for language practice,Interactive teaching methods successful,Excellent student participation,Good support for English program,Building confidence in communication skills
Rajendra Tamang,Nepali,rajendra.tamang@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Students love Nepali literature and poetry,Classroom suitable for group discussions,Nepali textbooks rich in content,Creative writing assessments work well,More contemporary Nepali books needed,Adequate time for language development,Cultural activities enhance learning,Good student interest in mother tongue,Reasonable support for Nepali subject,Preserving language and cultural values
Gita Neupane,Health and Population,gita.neupane@school.edu.np,Neutral,Sometimes,Average,Somewhat Supportive,Sometimes,Somewhat Clear,Somewhat Useful,Average,Neutral,Sometimes,Health education awareness varies among students,Classroom needs health education charts,Health textbooks need practical examples,Health assessments need improvement,First aid kit and models needed,Health education time often reduced,Theoretical approach limits effectiveness,Mixed student response to health topics,Limited support for health education,Gradual improvement in health awareness
Prem Bahadur Rai,Computer,prem.rai@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Students excited about computer programming,Computer lab has modern facilities,Software and hardware regularly updated,Practical computer assessments excellent,Internet connectivity is reliable,Adequate lab time for practice,Hands on learning approach very successful,High student enthusiasm for technology,Excellent administrative support for IT,Preparing students for digital future
Sundar Limbu,Economics,sundar.limbu@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Students understand basic economic principles,Classroom suitable for case discussions,Economics textbooks explain concepts clearly,Real world examples make learning effective,Current economic data would help,Sufficient time for economic concept development,Market visit programs enhance understanding,Good student participation in economics,Reasonable support for social sciences,Building economic awareness among students
Manju Magar,Mathematics,manju.magar@school.edu.np,Ineffective,No,Poor,Not Supportive,Rarely,Unclear,Not Useful,Poor,Dissatisfied,No,Students struggle with advanced mathematics,Lack of proper teaching aids,Math textbooks too difficult for students,Assessment reveals poor understanding,Teaching materials are insufficient,Class time inadequate for problem solving,Traditional teaching methods ineffective,Low student interest in mathematics,No support for math improvement,Mathematics anxiety increasing among students
Deepak Khadka,Science,deepak.khadka@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Science experiments fascinate students,Well equipped science laboratory,Physics chemistry biology books comprehensive,Laboratory assessments very revealing,Some advanced equipment needed,Adequate time for science practicals,Inquiry based learning proves effective,Excellent student engagement in science,Strong support for science education,Developing scientific thinking successfully
Bimala Dahal,English,bimala.dahal@school.edu.np,Neutral,Sometimes,Average,Somewhat Supportive,Sometimes,Somewhat Clear,Somewhat Useful,Average,Neutral,Sometimes,English speaking skills need improvement,Classroom lacks audio visual aids,English grammar books adequate,Speaking assessments challenging,English dictionary and resources needed,Limited time for speaking practice,Mixed teaching approaches used,Varying levels of student interest,Basic support for English education,Gradual improvement in English skills
Ramkrishna Bhatta,Nepali,ramkrishna.bhatta@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Students appreciate Nepali literature,Classroom environment supports discussion,Nepali textbooks culturally rich,Poetry and essay assessments effective,More Nepali literary works needed,Sufficient time for language arts,Creative expression encouraged,Good student response to literature,Adequate support for mother tongue,Strengthening cultural identity through language
Anuradha Shrestha,Health and Population,anuradha.shrestha@school.edu.np,Very Ineffective,No,Very Poor,Not Supportive,Never,Very Unclear,Not Useful,Very Poor,Very Dissatisfied,No,Students lack basic health knowledge,No proper health education materials,Health textbooks outdated and insufficient,Health assessments poorly designed,Health education resources urgently needed,Health topics often skipped,Traditional lecture method ineffective,Very low student interest,No support for health education,Health awareness declining among students
Laxmi Regmi,Computer,laxmi.regmi@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Students learning basic computer skills,Computer lab needs more machines,Computer textbooks cover essential topics,Practical assessments demonstrate learning,Software licenses need renewal,Computer practice time adequate,Step by step teaching approach effective,Good student interest in computers,Reasonable support for computer education,Building digital literacy among students
Bishnu Prasad Joshi,Economics,bishnu.joshi@school.edu.np,Very Ineffective,No,Very Poor,Not Supportive,Never,Very Unclear,Not Useful,Very Poor,Very Dissatisfied,No,Students find economics concepts abstract,No current economic data available,Economics textbooks lack local examples,Assessment methods purely theoretical,Economics teaching resources needed,Economics often taught as theory only,Outdated teaching approaches used,Very low student engagement,No support for economics education,Economics relevance questioned by students
Sushila Kafle,Mathematics,sushila.kafle@school.edu.np,Neutral,Sometimes,Average,Somewhat Supportive,Sometimes,Somewhat Clear,Somewhat Useful,Average,Neutral,Sometimes,Mathematics performance varies widely,Classroom needs mathematical instruments,Math textbooks have some good exercises,Problem solving assessments mixed results,Geometric instruments and charts needed,Math practice time sometimes insufficient,Traditional and modern methods combined,Moderate student interest in mathematics,Limited support for math enhancement,Slow but steady progress in mathematics
